variable,price,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
incremental cost (million US$),6,KEN,mAb,Kenya,463100,6$(mAb),"KEN
$6
mAb",0.5,0.5,0.3,0.6,0.1,0.8
incremental cost/DALY (disc) averted (US$),6,KEN,mAb,Kenya,36,6$(mAb),"KEN
$6
mAb",35.4,36.2,25.7,46.8,7,68
intervention cost (million US$),6,KEN,mAb,Kenya,5634000,6$(mAb),"KEN
$6
mAb",5.6,5.6,5.6,5.6,5.6,5.6
total DALY averted (US$),6,KEN,mAb,Kenya,28970,6$(mAb),"KEN
$6
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),6,KEN,mAb,Kenya,12700,6$(mAb),"KEN
$6
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),6,KEN,mAb,Kenya,5171000,6$(mAb),"KEN
$6
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),6,KEN,mAb,Kenya,16,6$(mAb),"KEN
$6
mAb",15.5,15.9,11.3,20.5,3.1,29.9
incremental cost (million US$),3,KEN,MV,Kenya,713200,3$(MV),"KEN
$3
MV",0.7,0.7,0.6,0.8,0.4,0.9
incremental cost/DALY (disc) averted (US$),3,KEN,MV,Kenya,71,3$(MV),"KEN
$3
MV",71,71.1,59.3,84.1,39.3,108.7
intervention cost (million US$),3,KEN,MV,Kenya,2882000,3$(MV),"KEN
$3
MV",2.9,2.9,2.9,2.9,2.9,2.9
total DALY averted (US$),3,KEN,MV,Kenya,22950,3$(MV),"KEN
$3
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),3,KEN,MV,Kenya,9982,3$(MV),"KEN
$3
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),3,KEN,MV,Kenya,2169000,3$(MV),"KEN
$3
MV",2.2,2.2,2.1,2.3,1.9,2.4
